,City,lat,lng,Movehub.Rating,Purchase.Power,Health.Care,Pollution,Quality.of.Life,Crime.Rating,Sunny_days,Average_internet_Speed,D_1M,T_1M,Peace_Index_2020,Happiness_Index
1,Tirana,41.3275459,19.8186982,69.78,17.8,44.44,80.84,36.81,47.99,2544,21.4,156,35349,1.872,4.719
2,Buenos Aires,-34.6036844,-58.3815591,77.29,29.29,79.17,47.26,39.78,59.46,2525.2,12.8,576,52067,1.978,6.086
3,Darwin,37.0929586,-95.5828336,79.63,49.51,75.28,6.78,78.52,32.8,3092.2,37.4,35,323342,1.386,7.228
4,Gold Coast,-28.016667,153.4,82.03,56.11,82.23,30.55,81.31,43.02,2395.133333,37.4,35,323342,1.386,7.228
5,Brisbane,-27.4697707,153.0251235,87.63,53.72,88.89,22.19,77.07,45.84,2968.4,37.4,35,323342,1.386,7.228
6,Adelaide,-34.9284989,138.6007456,87.29,72.03,56.25,12.01,91.54,41.32,2765.4,37.4,35,323342,1.386,7.228
7,Perth,-31.9505269,115.8604572,95.38,62.11,80.56,23.53,74.62,50.01,3229.5,37.4,35,323342,1.386,7.228
8,Canberra,-35.2809368,149.1300092,83.23,63.26,91.9,11.48,93.05,40.36,2813.7,37.4,35,323342,1.386,7.228
9,Melbourne,-37.8136276,144.9630576,92.58,55.48,76.67,30.28,68.99,48.75,2362.6,37.4,35,323342,1.386,7.228
10,Sydney,-33.8688197,151.2092955,94.53,54.82,71.27,18.48,74.32,32.8,2635.5,37.4,35,323342,1.386,7.228
11,Vienna,48.2081743,16.3738189,81.84,51.21,79.86,22.39,77.21,27.45,1884,27.5,99,213571,1.275,7.246
12,Baku,40.4092617,49.8670924,66.42,11.38,28.7,49.47,17.2,36.69,2207.4,13.4,61,119901,2.3,5.208
13,Manama,26.2235305,50.5875935,77.56,40.26,72.22,17.06,63.85,19.79,2395.133333,13.9,171,935591,2.209,6.199
14,Dhaka,23.810332,90.4125181,71.58,21.32,20.83,62.14,13.48,59.06,2066,5.7,34,13027,2.121,4.456
15,Minsk,53.9006011,27.558972,68.41,16.14,50,66.89,51.66,26.82,1807,7.7,98,232439,2.111,5.323
16,Brussels,50.8503396,4.3517103,84.8,54.41,81.35,6.79,65.42,53.79,1546,34.2,893,343332,1.496,6.923
17,Gaborone,-24.6282079,25.9231471,75.32,30.98,27.78,30.55,31.77,50,3371,21.59222798,8,108628,1.693,3.488
18,Curitiba,-25.4289541,-49.267137,76.15,34.97,59.03,33.59,58.67,46.27,2006.2,13,722,84035,2.413,6.3
19,Sao Paulo,-23.5505199,-46.6333094,75.4,24.24,63.79,72.04,30.57,66.31,2395.133333,13,722,84035,2.413,6.3
20,Rio De Janeiro,-22.9068467,-43.1728965,73.44,22.13,61.67,84.51,21.32,67.93,2395.133333,13,722,84035,2.413,6.3
21,Belo Horizonte,-19.9166813,-43.9344931,71.79,21.77,57.26,59.73,36.26,50.99,2395.133333,13,722,84035,2.413,6.3
22,Fortaleza,-3.7327144,-38.5269981,80.17,52.28,45.46,66.32,36.68,78.65,2843.4,13,722,84035,2.413,6.3
23,Porto Alegre,-30.0346471,-51.2176584,70.46,19.07,51.01,86.16,31.87,76.46,2101.4,13,722,84035,2.413,6.3
24,Varna,43.2140504,27.9147333,71.11,20.34,50.23,80.84,36.03,36.46,2395.133333,22.5,140,87616,1.628,5.011
25,Sofia,42.6977082,23.3218675,71.97,23.03,51.43,26.63,37.72,48.26,2177,22.5,140,87616,1.628,5.011
26,Toronto,43.653226,-79.3831843,88.42,61.44,66.11,8.95,77.02,27.4,2066.4,42.5,258,228442,1.298,7.278
27,Ottawa,45.4215296,-75.6971931,87.69,91.85,66.02,33.55,86.11,22.25,2395.133333,42.5,258,228442,1.298,7.278
28,Montreal,45.5016889,-73.567256,89.28,66.99,66.77,6.27,78.55,31.63,2051,42.5,258,228442,1.298,7.278
29,Edmonton,53.5461245,-113.4938229,85.94,67.19,78.83,22.79,89.58,31.14,2344.8,42.5,258,228442,1.298,7.278
30,Regina,50.4452112,-104.6188943,82.07,60.8,60.24,84.07,79.98,41.56,2395.133333,42.5,258,228442,1.298,7.278
31,Calgary,51.0447331,-114.0718831,85.77,63.9,75.33,23.53,87.57,29.53,2396.3,42.5,258,228442,1.298,7.278
